City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Sinnamary,88,GF,1544284433,92,5.38,-52.96,27.05,5.56
Chicama,90,PE,1544281200,88,-7.84,-79.15,20.0,4.1
Batagay-Alyta,8,RU,1544284498,0,67.8,130.41,-38.25,0.76
Mahebourg,40,MU,1544281200,74,-20.41,57.7,27.0,2.6
Passo de Camaragibe,40,BR,1544281200,46,-9.24,-35.49,33.0,5.1
Ramachandrapuram,36,IN,1544283000,78,16.83,82.03,25.0,3.51
San Policarpo,44,PH,1544284499,100,12.18,125.51,24.83,3.01
Arraial do Cabo,75,BR,1544281200,94,-22.97,-42.02,20.0,6.2
Adrar,0,DZ,1544284500,33,27.87,-0.29,22.4,6.96
Souillac,75,FR,1544281200,82,45.6,-0.6,13.0,7.7
Salalah,20,OM,1544280600,65,17.01,54.1,26.0,1.0
Saskylakh,56,RU,1544284405,73,71.97,114.09,-21.25,2.21
Pangnirtung,5,CA,1544281200,63,66.15,-65.72,-23.0,1.5
Jieshi,88,CN,1544284500,100,22.82,115.83,17.3,5.91
Jamestown,64,AU,1544284372,40,-33.21,138.6,25.33,3.41
Namibe,0,AO,1544284419,100,-15.19,12.15,22.25,5.26
Strand,40,ZA,1544281200,53,-34.11,18.83,22.0,6.2
Puerto Narino,40,CO,1544281200,79,-3.77,-70.38,29.0,2.1
Dukat,80,RS,1544284406,90,42.44,22.31,1.1,0.86
Visnes,75,NO,1544282400,75,59.36,5.22,7.0,6.7
Grand Gaube,40,MU,1544281200,74,-20.01,57.66,27.0,2.6
Nelson,76,CA,1544284216,93,49.49,-117.29,-13.78,0.86
Preeceville,0,CA,1544284502,72,51.95,-102.67,-19.65,1.66
Iralaya,40,HN,1544281200,74,15.0,-83.23,29.0,3.1
Kaitangata,92,NZ,1544284420,62,-46.28,169.85,16.68,8.01
Itarema,64,BR,1544284360,92,-2.92,-39.92,29.05,3.31
Anaconda,1,US,1544280780,74,46.13,-112.94,-19.4,2.1
Cururupu,68,BR,1544284437,75,-1.82,-44.87,30.0,2.56
Searcy,90,US,1544280960,100,35.25,-91.74,1.3,7.2
Santa Cruz de la Palma,75,ES,1544283000,68,28.68,-17.76,21.0,5.1
Guatire,20,VE,1544281200,78,10.47,-66.54,27.0,2.1
Ixtapa,75,MX,1544280420,100,20.71,-105.21,22.0,3.6
Vostok,36,RU,1544284504,55,46.45,135.83,-21.33,2.56
Rocha,0,UY,1544284417,50,-34.48,-54.34,23.35,3.86
Jinchang,0,CN,1544284505,66,38.52,102.19,-17.28,1.31
Avera,90,US,1544283300,86,33.19,-82.53,8.0,4.1
Khandbari,64,NP,1544284505,75,27.38,87.21,-1.93,0.31
Sorong,76,ID,1544284505,100,-0.86,131.25,26.75,1.41
Golkoy,75,TR,1544280600,75,40.69,37.62,8.0,1.5
Yulara,64,AU,1544281200,19,-25.24,130.99,35.0,3.6
Cherskiy,32,RU,1544284506,53,68.75,161.3,-35.03,1.96
Gainesville,1,US,1544283300,77,29.65,-82.33,17.8,3.1
Tura,0,IN,1544284506,86,25.52,90.21,14.35,0.51
Narsaq,8,GL,1544284422,57,60.91,-46.05,-15.33,1.61
Kyren,56,RU,1544284506,52,51.68,102.13,-29.58,0.96
Port Macquarie,8,AU,1544281200,77,-31.43,152.91,19.0,3.6
Finote Selam,44,ET,1544284507,77,10.7,37.27,17.5,0.16
Chihuahua,5,MX,1544280000,80,28.66,-106.08,4.0,2.41
Ialibu,92,PG,1544284248,98,-6.28,143.99,13.9,0.91
Babai,75,UA,1544283000,92,49.9,36.2,-4.0,3.0
Nuuk,75,GL,1544280600,79,64.17,-51.74,-7.0,5.7
Harer,90,US,1544283300,92,42.19,-111.17,-5.0,1.5
Vilyuysk,56,RU,1544284508,61,63.75,121.63,-29.43,2.31
San Patricio,0,PY,1544284372,57,-26.98,-56.83,24.9,1.81
Chippewa Falls,90,US,1544283300,86,44.94,-91.39,-10.5,2.11
Shakiso,0,ET,1544284509,43,5.77,38.9,23.33,2.41
Husavik,24,CA,1544284509,74,50.56,-96.99,-16.15,6.16
Luanda,75,AO,1544281200,69,-8.83,13.24,28.0,5.1
Yablonovo,90,RU,1544283000,100,50.85,37.36,-5.0,2.0
Bambous Virieux,40,MU,1544281200,74,-20.34,57.76,27.0,2.6
Walvis Bay,0,NA,1544281200,44,-22.95,14.51,25.0,10.3
Tiarei,75,PF,1544283000,78,-17.53,-149.33,26.0,5.1
Tezu,0,IN,1544284510,60,27.93,96.16,10.45,1.01
Kirakira,0,SB,1544284511,99,-10.46,161.92,29.35,2.06
Dingle,68,PH,1544284367,82,11.0,122.67,26.3,5.81
Namatanai,44,PG,1544284511,98,-3.66,152.44,29.08,3.21
Bandarban,0,BD,1544281200,88,22.2,92.22,20.0,0.91
Vestmannaeyjar,40,IS,1544281800,74,63.44,-20.27,2.0,9.3
Candido Mendes,44,BR,1544284511,94,-1.45,-45.72,28.48,4.56
Kloulklubed,75,PW,1544280600,83,7.04,134.26,27.0,3.6
Kemin,92,KG,1544284512,84,42.79,75.7,-3.53,1.16
Nishihara,75,JP,1544283000,72,35.74,139.53,10.0,7.7
Yenagoa,12,NG,1544284512,98,4.92,6.26,27.1,3.06
Ariquemes,100,BR,1544284512,94,-9.91,-63.03,24.65,1.31
Takaungu,20,KE,1544281200,74,-3.68,39.86,29.0,3.1
Pangkalanbuun,48,ID,1544284513,99,-2.68,111.62,23.48,0.81
Opotiki,12,NZ,1544284513,100,-38.01,177.29,16.7,1.16
Guerrero Negro,0,MX,1544284406,100,27.97,-114.04,9.93,1.96
Durban,0,FR,1544281200,66,43.54,0.58,13.0,3.6
Turukhansk,88,RU,1544284514,66,65.8,87.96,-22.6,7.16
Seoul,1,KR,1544283000,47,37.57,126.98,-7.2,1.0
Port Elizabeth,75,US,1544280960,71,39.31,-74.98,-0.3,0.61
Clarence Town,0,AU,1544283000,82,-32.59,151.78,19.0,4.1
Lasa,40,CY,1544283000,59,34.92,32.53,18.0,2.1
Rabo de Peixe,0,PT,1544281200,49,37.8,-25.58,21.0,4.1
Narkevychi,92,UA,1544284515,96,49.52,26.64,1.7,4.76
Orumiyeh,40,IR,1544281200,93,37.55,45.08,5.0,2.1
Kem,88,UG,1544284515,32,2.68,33.77,30.65,2.31
Hambantota,75,LK,1544281800,100,6.12,81.12,26.0,3.6
Julfa,75,AZ,1544283000,87,38.95,45.63,7.0,1.0
Rio Cuarto,0,AR,1544281200,34,-33.13,-64.35,27.0,12.3
Farrukhnagar,0,IN,1544283000,63,28.45,76.82,17.0,3.31
Antofagasta,0,CL,1544281200,63,-23.65,-70.4,19.0,8.7
Marovoay,20,MG,1544281200,74,-16.11,46.64,30.0,5.1
La Tuque,36,CA,1544284517,77,47.44,-72.79,-20.0,1.06
Aquiraz,75,BR,1544281200,66,-3.9,-38.39,30.0,5.1
Makakilo City,90,US,1544282520,92,21.35,-158.09,23.3,1.5
Yeysk,8,RU,1544284518,93,46.71,38.27,-1.0,1.86
Pittsfield,1,US,1544283300,81,39.61,-90.81,-4.0,3.1
Zabol,68,IR,1544281200,29,31.03,61.49,16.0,2.1
Faya,20,SA,1544281200,72,18.39,42.45,18.0,3.1
Kizner,76,RU,1544284518,91,56.27,51.51,-5.9,1.46
Marsh Harbour,8,BS,1544284519,100,26.54,-77.06,24.55,6.56
Abrau-Dyurso,75,RU,1544283000,81,44.7,37.6,3.0,2.0
Puerto Castilla,8,ES,1544284520,75,40.29,-5.63,12.2,0.86
Darhan,8,MN,1544284520,40,49.49,105.92,-33.3,1.31
Sikonge,92,TZ,1544284520,69,-5.63,32.75,24.43,1.61
Chuy,0,UY,1544284377,82,-33.69,-53.46,22.18,3.41
Longyearbyen,75,NO,1544280600,79,78.22,15.63,-2.0,4.1
Pandan Niog,12,PH,1544284394,97,6.23,120.56,29.85,1.31
Valparaiso,90,US,1544283300,79,41.47,-87.06,-2.0,2.56
Yar-Sale,80,RU,1544284521,95,66.83,70.83,-7.55,5.26
Karjat,0,IN,1544283000,45,18.91,73.32,28.0,2.6
Dicabisagan,100,PH,1544284364,100,17.08,122.42,23.68,4.91
Broken Hill,100,AU,1544281200,44,-31.97,141.45,26.0,7.2
Mareeba,90,AU,1544283000,83,-16.99,145.42,24.0,2.6
Monze,48,ZM,1544284522,87,-16.28,27.48,23.48,1.61
Port-Gentil,90,GA,1544281200,74,-0.72,8.78,29.0,3.1
Bandikui,0,IN,1544284522,67,27.05,76.58,14.9,1.31
Iqaluit,75,CA,1544281200,76,63.75,-68.52,-23.0,1.5
Kedrovyy,40,RU,1544283000,83,56.17,91.82,-22.0,1.56
Staryy Nadym,88,RU,1544284378,87,65.61,72.68,-7.78,4.81
Bilma,0,NE,1544284523,28,18.69,12.92,24.93,3.41
Tamiahua,68,MX,1544284523,100,21.28,-97.45,23.08,3.41
Sterling,1,US,1544283300,60,39.0,-77.4,2.6,1.5
Ler,75,NO,1544282400,91,63.2,10.3,2.0,3.6
Puerto Penasco,0,MX,1544284524,100,31.32,-113.53,13.85,3.76
Mitchell,1,US,1544280780,86,43.71,-98.03,-13.3,5.1
Jumla,0,NP,1544284525,86,29.28,82.18,-8.75,0.86
Nizhniy Tsasuchey,0,RU,1544284525,64,50.52,115.13,-26.28,1.41
Beringovskiy,32,RU,1544284525,100,63.05,179.32,-17.05,8.66
Thai Binh,90,VN,1544283000,93,20.45,106.33,16.0,3.1
Kavaratti,0,IN,1544284418,100,10.57,72.64,29.58,1.96
Sechura,56,PE,1544284251,82,-5.56,-80.82,22.4,3.11
Belle Fourche,1,US,1544283300,50,44.67,-103.85,-1.0,5.7
Lodwar,0,KE,1544284526,37,3.12,35.6,31.83,4.46
Itoman,75,JP,1544283000,68,26.12,127.67,19.0,6.2
Englewood,1,US,1544283360,82,39.65,-104.99,-1.6,2.81
Miracema do Tocantins,8,BR,1544284527,85,-9.56,-48.4,30.75,2.01
Canico,40,PT,1544281200,72,32.63,-16.85,19.0,6.7
Hualmay,36,PE,1544284308,77,-11.1,-77.61,21.43,2.06
Kitui,24,KE,1544284528,75,-1.37,38.02,23.15,3.21
Nemuro,12,JP,1544284362,100,43.32,145.57,-1.33,7.71
Dudinka,80,RU,1544284276,81,69.41,86.18,-20.25,10.16
San Quintin,0,PH,1544284308,83,17.54,120.52,21.68,1.81
Diamantino,8,BR,1544284412,85,-14.4,-56.44,28.93,2.36
Bandarbeyla,12,SO,1544284529,100,9.49,50.81,26.2,7.56
Taytay,12,PH,1544284294,85,10.83,119.52,28.3,8.41
Margate,75,AU,1544283000,82,-43.03,147.26,14.0,2.6
Port Said,12,EG,1544284530,40,25.34,30.55,18.58,1.41
Rapu-Rapu,80,PH,1544284530,100,13.19,124.13,26.15,6.41
Den Helder,90,NL,1544282700,76,52.96,4.76,11.0,12.9
Batagay,32,RU,1544284382,0,67.65,134.64,-43.65,1.31
Viedma,0,AR,1544284530,29,-40.81,-62.99,32.95,8.46
Aasiaat,64,GL,1544284530,100,68.71,-52.87,-7.45,0.41
Kununurra,0,AU,1544283000,83,-15.77,128.74,28.0,1.0
Goderich,80,CA,1544284358,89,43.74,-81.71,-1.53,6.91
Kinshasa,75,CD,1544281200,58,-4.32,15.31,31.0,4.6
Mittweida,75,DE,1544282400,81,50.99,12.98,6.0,8.2
Chaman,0,AF,1544284531,86,30.92,66.46,3.55,1.31
Lazaro Cardenas,5,MX,1544280000,80,28.39,-105.62,4.0,1.96
Tsabong,0,BW,1544284532,13,-26.02,22.4,33.1,5.86
Praia da Vitoria,0,PT,1544281200,64,38.73,-27.07,22.0,4.56
Santo Antonio do Sudoeste,0,BR,1544284533,44,-26.07,-53.73,26.83,1.61
Tiquisio,20,CO,1544284533,50,8.56,-74.26,30.43,0.91
Udachnyy,56,RU,1544284533,74,66.42,112.4,-27.5,1.11
Ambulu,92,ID,1544284534,100,-8.35,113.61,25.93,1.16
Aqtobe,0,KZ,1544283000,66,50.28,57.21,-10.0,3.0
Padang,36,ID,1544284406,100,-0.92,100.36,27.5,2.86
Biak,32,ID,1544284534,97,-0.91,122.88,26.73,1.76
Provideniya,0,RU,1544284384,100,64.42,-173.23,-7.78,9.86
Edson,1,CA,1544281200,71,53.59,-116.44,-13.0,2.6
Bathsheba,75,BB,1544281200,74,13.22,-59.52,27.0,9.3
Saint-Georges,24,CA,1544284465,63,46.12,-70.67,-15.9,2.06
Kananga,92,CD,1544284535,90,-5.9,22.41,24.0,2.76
La Ronge,40,CA,1544281200,84,55.1,-105.3,-17.0,1.5
Mount Isa,0,AU,1544283000,30,-20.73,139.49,27.0,2.6
Hudiksvall,92,SE,1544284536,98,61.73,17.1,4.05,4.01
Manavadar,0,IN,1544284536,42,21.5,70.14,23.4,4.01
Dothan,90,US,1544282700,66,31.22,-85.39,10.5,4.1
Rio Grande,0,BR,1544281200,31,-32.03,-52.1,23.0,2.1
Baykit,56,RU,1544284386,56,61.68,96.39,-29.0,1.21
Kokopo,56,PG,1544284537,100,-4.34,152.27,27.83,2.66
Ostrovnoy,88,RU,1544284366,93,68.05,39.51,-2.85,6.71
Eyl,0,SO,1544284537,86,7.98,49.82,26.73,7.56
Nalut,44,LY,1544284389,85,31.86,10.98,14.7,1.96
Otoka,75,BA,1544281200,100,43.85,18.36,3.0,5.1
Sicamous,90,CA,1544281200,67,50.84,-118.99,-7.0,1.0
Airai,12,TL,1544284411,92,-8.93,125.41,22.18,0.66
Muisne,75,EC,1544281200,66,0.61,-80.02,29.0,3.1
Sorland,8,NO,1544284538,100,67.67,12.69,4.3,11.61
Half Moon Bay,1,US,1544283600,100,37.46,-122.43,7.0,1.96
Nhulunbuy,0,AU,1544283000,94,-12.18,136.78,27.0,0.86
Lorengau,48,PG,1544284354,98,-2.02,147.27,29.23,3.46
Westport,75,IE,1544283000,87,53.8,-9.52,8.0,10.3
Saint-Leu,0,RE,1544283000,69,-21.15,55.28,26.0,4.6
Oussouye,0,SN,1544281200,28,12.49,-16.54,36.0,3.1
Yamada,75,JP,1544281200,100,36.58,137.08,5.0,8.2
Nioro,0,GM,1544284540,27,13.79,-15.05,34.68,4.76
Florianopolis,40,BR,1544281200,44,-27.6,-48.55,24.0,3.6
Sitka,44,US,1544284408,75,37.17,-99.65,-5.2,1.61
Bulgan,12,MN,1544284541,23,48.81,103.53,-28.08,1.81
Faanui,80,PF,1544284358,100,-16.48,-151.75,25.55,6.56
Kangaatsiaq,0,GL,1544284541,100,68.31,-53.46,-10.68,3.41
Inirida,92,CO,1544284541,99,3.87,-67.92,22.73,1.26
Kuytun,48,RU,1544284542,70,54.34,101.51,-27.0,0.86
Adre,0,TD,1544284542,20,13.47,22.2,30.48,2.56
Nyagan,88,RU,1544284542,81,62.14,65.43,-6.93,2.51
Sovetskaya,24,RU,1544284542,89,44.78,41.17,-3.18,0.91
Inza,92,RU,1544284543,91,53.86,46.36,-5.45,1.41
Hamilton,75,BM,1544280900,64,32.3,-64.78,20.0,5.1
Genteng,92,ID,1544284543,100,-8.36,114.15,23.18,0.76
Gwanda,24,ZW,1544284544,69,-20.94,29.0,26.5,1.66
Matay,0,EG,1544284398,47,28.42,30.79,15.7,1.41
Noumea,75,NC,1544283000,68,-22.28,166.46,21.0,1.5
Meadow Lake,5,CA,1544281200,77,54.13,-108.44,-15.0,4.1
Saint Anthony,90,US,1544280960,81,43.97,-111.68,-5.0,1.16
Morondava,0,MG,1544284545,62,-20.3,44.28,31.83,3.56
Fortuna,0,ES,1544283000,72,38.18,-1.13,20.0,3.6
Wawa,0,NG,1544284545,28,9.9,4.41,34.23,3.71
Vanimo,8,PG,1544284545,100,-2.67,141.3,29.18,4.81
Kristiansund,75,NO,1544282400,93,63.12,7.73,2.0,5.1
Talnakh,80,RU,1544284373,85,69.49,88.39,-20.95,6.11
Price,1,US,1544280780,95,39.6,-110.81,-6.1,1.5
Hornepayne,44,CA,1544284546,80,49.22,-84.78,-12.28,2.31
San Cristobal,75,EC,1544281200,63,-0.39,-78.55,17.0,1.0
Sukhobezvodnoye,64,RU,1544284547,91,57.05,44.89,-9.2,1.81
Rio Gallegos,20,AR,1544281200,37,-51.62,-69.22,19.0,8.7
Dong Hoi,92,VN,1544284547,100,17.48,106.6,21.35,8.36
Vestmanna,56,FO,1544282400,64,62.16,-7.17,3.0,4.6
Victoria,75,BN,1544283000,94,5.28,115.24,27.0,0.5
Saint John,20,CA,1544281200,66,45.28,-66.06,-11.0,7.2
